name,type,aggregatable
author_bot,boolean,true
author_id,keyword,true
author_name,keyword,true
author_org_name,keyword,true
author_user_name,long,true
author_uuid,keyword,true
comment,keyword,true
description_analyzed,text,false
event_url,keyword,true
grimoire_creation_date,date,true
group_created,date,true
group_geolocation,geo_point,true
group_id,long,true
group_join_mode,keyword,true
group_members,long,true
group_name,keyword,true
group_topics_keys,keyword,true
group_topics,keyword,true
group_urlname,keyword,true
group_who,keyword,true
id,keyword,true
is_meetup_comment,long,true
is_meetup_meetup,long,true
is_meetup_rsvp,long,true
like_count,long,true
meetup_created,long,true
meetup_description,keyword,true
meetup_duration,long,true
meetup_featured,boolean,true
meetup_name,keyword,true
meetup_plain_text_description,keyword,false
meetup_rsvpable,boolean,true
meetup_status,keyword,true
meetup_time,long,true
meetup_updated,long,true
meetup_utc_offset,long,true
meetup_visibility,keyword,true
meetup_waitlist_count,long,true
meetup_yes_rsvp_count,long,true
member_id,long,true
member_is_host,boolean,true
member_name,keyword,true
member_photo_id,long,true
member_photo_type,keyword,true
member_photo_url,keyword,true
member_url,keyword,true
metadata__enriched_on,date,true
metadata__gelk_backend_name,keyword,true
metadata__gelk_version,keyword,true
metadata__timestamp,date,true
metadata__updated_on,date,true
num_comments,long,true
num_rsvps,long,true
origin,keyword,true
repository_labels,keyword,true
rsvps_guests,long,true
rsvps_response,keyword,true
rsvps_updated,long,true
tag,keyword,true
time_date,date,true
type,keyword,true
url,keyword,true
uuid,keyword,true
venue_address_1,keyword,true
venue_city,keyword,true
venue_country,keyword,true
venue_geolocation,geo_point,true
venue_id,long,true
venue_localized_country_name,keyword,true
venue_name,keyword,true
venue_repinned,boolean,true
venue_state,keyword,true
venue_zip,keyword,true
