name,type,aggregatable,description,Raw / Calculated
average_opened_time,long,TRUE,Average of issue opened time.,GrimoireLab
grimoire_creation_date,date,TRUE,Issue creation date.,Data Source / Parsed
interval_days,long,TRUE,Number of days between each analysis.,GrimoireLab
is_github_stats,boolean,TRUE,True if is Github Stats.,GrimoireLab
labels,keyword,TRUE,The labels assigned to an issue.,Data Source / Parsed
metadata__enriched_on,date,TRUE,Date when the data were enriched.,GrimoireLab
opened,long,TRUE,Number of issues opens.,GrimoireLab
organization,keyword,TRUE,Organization name of the repository uthor,Data Source / Parsed
origin,keyword,TRUE,The original URL from which the repository was retrieved from.,Data Source / Parsed
project,keyword,TRUE,Project name.,GrimoireLab
study_creation_date,date,TRUE,Date when the study is created.,GrimoireLab
uuid,keyword,TRUE,Perceval UUID.,GrimoireLab
