name,type
author_bot,boolean
author_id,keyword
author_name,keyword
author_org_name,keyword
author_user_name,keyword
author_uuid,keyword
creation_date,date
iscreated,long
isrevision,long
metadata__timestamp,date
metadata__updated_on,date
ocean-unique-id,long
origin,keyword
page_last_edited_date,date
page_metadata__timestamp,date
page_metadata__updated_on,date
page_origin,keyword
page_pageid,long
page_title,keyword
revision_comment,keyword
revision_parentid,long
revision_revid,long
revision_timestamp,date
revision_user,keyword
tag,keyword
title_analyzed,text
url,keyword
uuid,keyword
