name,type,aggregatable,description,Raw / Calculated
fetched_on,long,TRUE,"Timestamp when the item was fetched, equivalent to metadata__updated_on.",GrimoireLab
forks_count,long,TRUE,Number of forks of the repository.,Data Source / Parsed
grimoire_creation_date,date,TRUE,Date when the repo was fetched.,Data Source / Parsed
is_github_repository,long,TRUE,Used to separate repositories from other items such as pull requests and issues.,GrimoireLab
metadata__enriched_on,date,TRUE,Date when the data were enriched.,GrimoireLab
metadata__gelk_backend_name,keyword,TRUE,Name of the backend used to enrich the data.,GrimoireLab
metadata__gelk_version,keyword,TRUE,Version of the backend used to enrich the data.,GrimoireLab
metadata__timestamp,date,TRUE,Date when the item was stored in ElasticSearch raw index.,GrimoireLab
metadata__updated_on,date,TRUE,Date when the item was updated on its original data source.,GrimoireLab
origin,keyword,TRUE,The original URL from which the repository was retrieved from.,Data Source / Parsed
repository_labels,keyword,TRUE,Custom repository labels defined by the user.,Data Source / Parsed
stargazers_count,long,TRUE,Number of stars of the repository.,Data Source / Parsed
subscribers_count,long,TRUE,Number of watchers of the repository.,Data Source / Parsed
tag,keyword,TRUE,Perceval tag.,GrimoireLab
url,keyword,TRUE,Full URL of the repository,Data Source / Parsed
uuid,keyword,TRUE,Perceval UUID.,GrimoireLab
