name,type
ancestors_links,keyword
ancestors_titles,keyword
author_bot,boolean
author_id,keyword
author_name,keyword
author_org_name,keyword
author_user_name,keyword
author_uuid,keyword
by_bot,boolean
by_id,keyword
by_name,keyword
by_org_name,keyword
by_user_name,keyword
by_uuid,keyword
content_url,keyword
date,date
grimoire_creation_date,date
id,keyword
is_attachment,long
is_blogpost,long
is_com,long
is_comment,long
is_confluence_confluence,long
is_new_page,long
is_page,long
message,keyword
metadata__enriched_on,date
metadata__gelk_backend_name,keyword
metadata__gelk_version,keyword
metadata__timestamp,date
metadata__updated_on,date
origin,keyword
repository_labels,keyword
status,keyword
tag,keyword
title_analyzed,text
title,keyword
type,keyword
url,keyword
uuid,keyword
version,long
