name,type,aggregatable,description
author,string,true,"Author name."
author_date,date,true,"Author date (when the original author made the commit)."
blanks,number,true,"Number of blank lines in a file."
blanks_per_loc,number,true,"Number of blank lines per line of code."
ccn,number,true,"Code Complexity of a file."
comments,number,true,"Number of comments in a file."
comments_per_loc,number,true,"Number of comment lines per line of code."
commit_date,date,true,"Date when committer made this commit."
commit_parents,keyword,true,"Commit parents."
commit_sha,string,true,"Commit hash."
committer,string,true,"Author name."
ext,string,true,"File extension"
file_path,string,true,"File Path"
files_at_commit,string,true,"List of files in the given revision."
grimoire_creation_date,date,true,"Commit date (when the original author made the commit)."
id,string,true,"Graal Item Id."
loc,number,true,"Lines of code in a file."
loc_per_function,number,true,"Number of lines of code per function definition."
message,string,true,"Commit message as a single String."
metadata__enriched_on,date,true,"Date when the item was enriched."
metadata__gelk_backend_name,keyword,true,"Name of the backend used to enrich information."
metadata__gelk_version,keyword,true,"Version of the backend used to enrich information."
metadata__timestamp,date,true,"Date when the item was stored in RAW index."
metadata__updated_on,date,true,"Date when the item was updated in its original data source."
modules,string,true,"Modules which the file is part of"
num_funs,number,true,"Number of function definition in the file"
origin,keyword,true,"Original URL where the repository was retrieved from."
project_1,keyword,true,"Project (if more than one level is allowed in project hierarchy)"
project,keyword,true,"Project."
repo_url,keyword,true,"Anonymized URL where the repository was retrieved from."
tag,keyword,true,"Graal tag."
tokens,number,true,"Number of tokens in a file"
uuid,keyword,true,"Graal UUID."
