name,type
author_bot,long
author_domain,keyword
author_id,keyword
author_name,keyword
author_org_name,keyword
author_user_name,keyword
author_uuid,keyword
avatar,keyword
channel_created,long
channel_id,keyword
channel_is_archived,long
channel_is_general,long
channel_is_starred,long
channel_member_count,long
channel_name,keyword
file_id,keyword
file_is_editable,long
file_is_external,long
file_is_public,long
file_mode,keyword
file_name,keyword
file_size,long
file_title,keyword
file_type,keyword
grimoire_creation_date,date
is_admin,long
is_owner,long
is_primary_owner,long
is_slack_message,long
metadata__enriched_on,date
metadata__gelk_backend_name,keyword
metadata__gelk_version,keyword
metadata__timestamp,date
metadata__updated_on,date
number_attachs,long
origin,keyword
profile_title,keyword
reaction_count,long
reactions,keyword
reply_count,long
subscribed,long
subtype,keyword
tag,keyword
team_id,keyword
text_analyzed,text
text,keyword
type,keyword
tz,long
unread_count,long
user_data_bot,long
user_data_domain,keyword
user_data_id,keyword
user_data_name,keyword
user_data_org_name,keyword
user_data_user_name,keyword
user_data_uuid,keyword
user,keyword
uuid,keyword
