name,type
author_bot,boolean
author_domain,keyword
author_id,keyword
author_name,keyword
author_org_name,keyword
author_uuid,keyword
body_extract,keyword
body,text
Date,keyword
email_date,date
From_bot,boolean
From_domain,keyword
From_id,keyword
From,keyword
From_name,keyword
From_org_name,keyword
From_uuid,keyword
grimoire_creation_date,date
is_mbox_message,long
is_pipermail_message,long
list,keyword
Message-ID,keyword
metadata__enriched_on,date
metadata__gelk_backend_name,keyword
metadata__gelk_version,keyword
metadata__timestamp,date
metadata__updated_on,date
ocean-unique-id,keyword
origin,keyword
project_1,keyword
project,keyword
root,boolean
size,long
Subject_analyzed,text
Subject,keyword
tag,keyword
tz,long
uuid,keyword
