name,type
author_bot,boolean
author_id,keyword
author_name,keyword
author_org_name,keyword
author_user_name,keyword
author_uuid,keyword
body_analyzed,text
body,keyword
channel,keyword
grimoire_creation_date,date
is_supybot_message,long
metadata__enriched_on,date
metadata__gelk_backend_name,keyword
metadata__gelk_version,keyword
metadata__timestamp,date
metadata__updated_on,date
nick_bot,boolean
nick_id,keyword
nick,keyword
nick_name,keyword
nick_org_name,keyword
nick_user_name,keyword
nick_uuid,keyword
ocean-unique-id,keyword
origin,keyword
sent_date,date
tag,keyword
type,keyword
update_date,date
uuid,keyword
