name,type
assigned_to_id,long
assigned_to_name,keyword
attachments,long
author_bot,boolean
author_domain,keyword
author_id,keyword
author_name,keyword
author_org_name,keyword
author_user_name,long
author_uuid,keyword
category_id,long
category_name,keyword
changesets,long
closing_date,date
creation_date,date
description_analyzed,text
description,keyword
done_ratio,long
fixed_version_id,long
fixed_version_name,keyword
grimoire_creation_date,date
id,long
is_redmine_job,long
journals,long
metadata__timestamp,date
metadata__updated_on,date
ocean-unique-id,keyword
origin,keyword
priority_id,long
priority_name,keyword
project_id,long
project_name,keyword
relations,long
spent_hours,float
start_date,date
status_id,long
status_name,keyword
subject,keyword
tag,keyword
timeopen_days,float
timeworking_days,float
tracker_id,long
tracker_name,keyword
updated_on,date
url,keyword
uuid,keyword
