name,type
author_askbot_id,keyword
author_askbot_user_name,keyword
author_badges,text
author_bot,boolean
author_domain,keyword
author_id,keyword
author_name,keyword
author_org_name,keyword
author_reputation,long
author_url,keyword
author_user_name,keyword
author_uuid,keyword
comment_count,long
first_answer,long
grimoire_creation_date,date
id,long
is_askbot_answer,long
is_askbot_comment,long
is_askbot_question,long
metadata__enriched_on,date
metadata__gelk_backend_name,keyword
metadata__gelk_version,keyword
metadata__timestamp,date
metadata__updated_on,date
ocean-unique-id,keyword
origin,keyword
question_answer_count,long
question_answer_ids,long
question_last_activity_at,date
question_last_activity_by_id,long
question_last_activity_by_username,keyword
question_tags,keyword
question_title,keyword
question_view_count,long
score,long
summary,text
tag,keyword
time_from_question,float
time_to_reply,float
title,keyword
type,keyword
url,keyword
uuid,keyword
